       0.1000000E+01,       0.6000181E+01,       0.4250832E+01,       0.1813701E-03,       0.2508321E+00
       0.2000000E+01,       0.6000000E+01,       0.1454426E-18,      -0.1575731E-22,       0.1454426E-18
       0.3000000E+01,       0.1200000E+02,       0.2525987E-18,      -0.7862475E-19,       0.2525987E-18
       0.4000000E+01,       0.1136410E+02,       0.7500040E+01,      -0.6359028E+00,       0.1500040E+01
       0.5000000E+01,       0.7585808E+01,       0.7499915E+01,      -0.4141920E+00,       0.1499915E+01
       0.6000000E+01,       0.4414192E+01,       0.7500085E+01,       0.4141920E+00,       0.1500085E+01
       0.7000000E+01,       0.6359028E+00,       0.7499960E+01,       0.6359028E+00,       0.1499960E+01
       0.8000000E+01,       0.7862414E-19,       0.2526118E-18,       0.7862414E-19,       0.2526118E-18
       0.9000000E+01,       0.6000000E+01,       0.1500000E+02,       0.1575746E-22,       0.3000000E+01
       0.1000000E+02,       0.5999819E+01,       0.1074917E+02,      -0.1813636E-03,       0.2749168E+01
       0.1100000E+02,       0.1200000E+02,       0.1500000E+02,      -0.7862418E-19,       0.3000000E+01
       0.1200000E+02,       0.7862474E-19,       0.1500000E+02,       0.7862474E-19,       0.3000000E+01
       0.1300000E+02,       0.7518568E+01,       0.6489442E+01,      -0.3835451E+00,       0.1107476E+01
       0.1400000E+02,       0.7303983E+01,       0.5573103E+01,      -0.3140509E+00,       0.7486739E+00
       0.1500000E+02,       0.6960440E+01,       0.4851855E+01,      -0.2151302E+00,       0.4698884E+00
       0.1600000E+02,       0.6509055E+01,       0.4399516E+01,      -0.1089792E+00,       0.3016287E+00
       0.1700000E+02,       0.6000075E+01,       0.3836335E+01,       0.7519510E-04,       0.2363353E+00
       0.1800000E+02,       0.6000048E+01,       0.3427111E+01,       0.4796749E-04,       0.2271112E+00
       0.1900000E+02,       0.6000079E+01,       0.3014703E+01,       0.7934862E-04,       0.2147032E+00
